NTACode,NTAName,area_km2,flood_area_km2,clim_flood_share
QN1104,Oakland Gardens-Hollis Hills,39.63487110075085,0.0,0.0
QN1201,Jamaica,46.828968713521405,0.0,0.0
QN1202,South Jamaica,37.86628605193958,0.0,0.0
QN1205,St. Albans,74.27697487286716,0.0,0.0
QN1206,Hollis,24.469268371282002,0.0,0.0
QN1301,Glen Oaks-Floral Park-New Hyde Park,45.4212141543672,0.0,0.0
QN1302,Bellerose,55.321841751341005,0.0,0.0
QN1303,Queens Village,69.65555911137353,0.0,0.0
QN1304,Cambria Heights,33.0732020666579,0.0,0.0
QN1305,Laurelton,39.84058960374526,0.0,0.0
QN1371,Montefiore Cemetery,5.32201553388294,0.0,0.0
QN8291,Forest Park,24.009878814186365,0.0,0.0
